latitude,longitude,elevation
33.327403,77.587054,5291.0
33.327403,77.587773,5127.0
33.327403,77.588491,5127.0
33.327403,77.58921,5127.0
33.327403,77.589929,5062.0
33.327403,77.590647,5062.0
33.327403,77.591366,5062.0
33.327403,77.592085,5109.0
33.327403,77.592803,5109.0
33.327403,77.593522,5109.0
33.327403,77.594241,5225.0
33.327403,77.594959,5225.0
33.327403,77.595678,5225.0
33.327403,77.596397,5446.0
33.327403,77.597115,5446.0
33.327403,77.597834,5446.0
33.327403,77.598553,5609.0
33.327403,77.599271,5609.0
33.327403,77.59999,5609.0
33.327403,77.600709,5563.0
33.327403,77.601427,5563.0
33.327403,77.602146,5375.0
33.328122,77.583461,5378.0
33.328122,77.58418,5378.0
33.328122,77.584898,5378.0
33.328122,77.585617,5291.0
33.328122,77.586336,5291.0
33.328122,77.587054,5291.0
33.328122,77.587773,5127.0
33.328122,77.588491,5127.0
33.328122,77.58921,5127.0
33.328122,77.589929,5062.0
33.328122,77.590647,5062.0
33.328122,77.591366,5062.0
33.328122,77.592085,5109.0
33.328122,77.592803,5109.0
33.328122,77.593522,5109.0
33.328122,77.594241,5225.0
33.328122,77.594959,5225.0
33.328122,77.595678,5225.0
33.328122,77.596397,5446.0
33.328122,77.597115,5446.0
33.328122,77.597834,5446.0
33.328122,77.598553,5609.0
33.328122,77.599271,5609.0
33.328122,77.59999,5609.0
33.328122,77.600709,5563.0
33.328122,77.601427,5563.0
33.328122,77.602146,5375.0
33.328122,77.602864,5375.0
33.328122,77.603583,5375.0
33.328122,77.604302,5072.0
33.328122,77.60502,5072.0
33.328122,77.605739,5072.0
33.32884,77.581305,5456.0
33.32884,77.582024,5456.0
33.32884,77.582742,5456.0
33.32884,77.583461,5378.0
33.32884,77.58418,5378.0
33.32884,77.584898,5378.0
33.32884,77.585617,5291.0
33.32884,77.586336,5291.0
33.32884,77.587054,5291.0
33.32884,77.587773,5127.0
33.32884,77.588491,5127.0
33.32884,77.58921,5127.0
33.32884,77.589929,5062.0
33.32884,77.590647,5062.0
33.32884,77.591366,5062.0
33.32884,77.592085,5109.0
33.32884,77.592803,5109.0
33.32884,77.593522,5109.0
33.32884,77.594241,5225.0
33.32884,77.594959,5225.0
33.32884,77.595678,5225.0
33.32884,77.596397,5446.0
33.32884,77.597115,5446.0
33.32884,77.597834,5446.0
33.32884,77.598553,5609.0
33.32884,77.599271,5609.0
33.32884,77.59999,5609.0
33.32884,77.600709,5563.0
33.32884,77.601427,5563.0
33.32884,77.602146,5375.0
33.32884,77.602864,5375.0
33.32884,77.603583,5375.0
33.32884,77.604302,5072.0
33.32884,77.60502,5072.0
33.32884,77.605739,5072.0
33.32884,77.606458,5010.0
33.32884,77.607176,5010.0
33.32884,77.607895,5010.0
33.329559,77.579149,5681.0
33.329559,77.579868,5697.0
33.329559,77.580586,5697.0
33.329559,77.581305,5605.0
33.329559,77.582024,5605.0
33.329559,77.582742,5605.0
33.329559,77.583461,5508.0
33.329559,77.58418,5508.0
33.329559,77.584898,5508.0
33.329559,77.585617,5342.0
33.329559,77.586336,5342.0
33.329559,77.587054,5342.0
33.329559,77.587773,5201.0
33.329559,77.588491,5201.0
33.329559,77.58921,5201.0
33.329559,77.589929,5074.0
33.329559,77.590647,5074.0
33.329559,77.591366,5074.0
33.329559,77.592085,5053.0
33.329559,77.592803,5053.0
33.329559,77.593522,5053.0
33.329559,77.594241,5069.0
33.329559,77.594959,5069.0
33.329559,77.595678,5069.0
33.329559,77.596397,5305.0
33.329559,77.597115,5305.0
33.329559,77.597834,5305.0
33.329559,77.598553,5476.0
33.329559,77.599271,5476.0
33.329559,77.59999,5476.0
33.329559,77.600709,5497.0
33.329559,77.601427,5497.0
33.329559,77.602146,5341.0
33.329559,77.602864,5341.0
33.329559,77.603583,5341.0
33.329559,77.604302,5095.0
33.329559,77.60502,5095.0
33.329559,77.605739,5095.0
33.329559,77.606458,5024.0
33.329559,77.607176,5024.0
33.329559,77.607895,5024.0
33.329559,77.608614,4954.0
33.329559,77.609332,4954.0
33.329559,77.610051,4954.0
33.330278,77.577712,5681.0
33.330278,77.57843,5681.0
33.330278,77.579149,5681.0
33.330278,77.579868,5697.0
33.330278,77.580586,5697.0
33.330278,77.581305,5605.0
33.330278,77.582024,5605.0
33.330278,77.582742,5605.0
33.330278,77.583461,5508.0
33.330278,77.58418,5508.0
33.330278,77.584898,5508.0
33.330278,77.585617,5342.0
33.330278,77.586336,5342.0
33.330278,77.587054,5342.0
33.330278,77.587773,5201.0
33.330278,77.588491,5201.0
33.330278,77.58921,5201.0
33.330278,77.589929,5074.0
33.330278,77.590647,5074.0
33.330278,77.591366,5074.0
33.330278,77.592085,5053.0
33.330278,77.592803,5053.0
33.330278,77.593522,5053.0
33.330278,77.594241,5069.0
33.330278,77.594959,5069.0
33.330278,77.595678,5069.0
33.330278,77.596397,5305.0
33.330278,77.597115,5305.0
33.330278,77.597834,5305.0
33.330278,77.598553,5476.0
33.330278,77.599271,5476.0
33.330278,77.59999,5476.0
33.330278,77.600709,5497.0
33.330278,77.601427,5497.0
33.330278,77.602146,5341.0
33.330278,77.602864,5341.0
33.330278,77.603583,5341.0
33.330278,77.604302,5095.0
33.330278,77.60502,5095.0
33.330278,77.605739,5095.0
33.330278,77.606458,5024.0
33.330278,77.607176,5024.0
33.330278,77.607895,5024.0
33.330278,77.608614,4954.0
33.330278,77.609332,4954.0
33.330278,77.610051,4954.0
33.330278,77.61077,4832.0
33.330278,77.611488,4832.0
33.330996,77.575556,5482.0
33.330996,77.576274,5482.0
33.330996,77.576993,5482.0
33.330996,77.577712,5681.0
33.330996,77.57843,5681.0
33.330996,77.579149,5681.0
33.330996,77.579868,5697.0
33.330996,77.580586,5697.0
33.330996,77.581305,5605.0
33.330996,77.582024,5605.0
33.330996,77.582742,5605.0
